Dates,Prices
2020-10-31,9.929502028045123
2020-11-30,10.480365476282063
2020-12-31,10.912886842966552
2021-01-31,10.951074086553858
2021-02-28,10.900110466770911
2021-03-31,10.990795662819327
2021-04-30,10.392381427829262
2021-05-31,9.92123011878009
2021-06-30,9.929901745505537
2021-07-31,10.079008318512697
2021-08-31,10.059696500522527
2021-09-30,10.277142162804154
2021-10-31,10.454826234172
2021-11-30,11.023965766089258
2021-12-31,11.419784495086859
2022-01-31,11.484029181966942
2022-02-28,11.41517820958246
2022-03-31,11.474933909922008
2022-04-30,10.871894121467507
2022-05-31,10.565983791443028
2022-06-30,10.389667980960347
2022-07-31,10.640974801820473
2022-08-31,10.511078808373064
2022-09-30,10.792829962232185
2022-10-31,10.981801112115695
2022-11-30,11.572883578527836
2022-12-31,11.936682968323757
2023-01-31,12.031998087782563
2023-02-28,11.955936300790665
2023-03-31,11.997843922285279
2023-04-30,11.404781152554222
2023-05-31,11.274680178381878
2023-06-30,10.924205395458097
2023-07-31,11.290737044727184
2023-08-31,11.062878962080134
2023-09-30,11.42200082742056
2023-10-31,11.633811080908574
2023-11-30,12.22269305492787
2023-12-31,12.530208691611266
2024-01-31,12.632612759628238
2024-02-29,12.528560616810537
2024-03-31,12.636255955066735
2024-04-30,12.03101032337069
2024-05-31,11.378373714534023
2024-06-30,11.556626382920223
2024-07-31,11.589637635519495
2024-08-31,11.666895663651854
2024-09-30,11.808123882766523
2024-10-31,11.960243253928251
2024-11-30,12.497213136108588
2024-12-31,12.915377817766
2025-01-31,12.939208376326645
2025-02-28,12.8752774279975
2025-03-31,12.951605938455227
2025-04-30,12.33929813676325
2025-05-31,11.85379014163643
2025-06-30,11.848568200757931
2025-07-31,11.983318087242488
2025-08-31,11.949649582817274
2025-09-30,12.153201677701349
